round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
single	50	0	WORLD GEOGRAPHY		Only nation to cover an entire continent	Australia	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	75	0	WORLD GEOGRAPHY		The Japanese name for Japan, meaning "source of the sun\"	Nihon (or Nippon)	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	100	0	WORLD GEOGRAPHY		The only country in Europe barred to American tourists	Albania	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	25	0	BEST-SELLERS		This Jacqueline Susann novel is the all-time fictional best seller	Valley of the Dolls	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	50	0	BEST-SELLERS		Hot horror author whose latest book is about haunted '58 Plymouth	Stephen King	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	75	0	BEST-SELLERS		Recent expose of movie studio executive's way with a check	Indecent Exposure	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	25	0	SPORTS		He's won 5 of the 10 last U.S. Open tennis titles	Jimmy Connors	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	50	0	SPORTS		In golf, it's 2 under par for a hole	an eagle	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	75	0	SPORTS		Famous Notre Dame football backfield with apocalyptic nickname	the Four Horsemen	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	100	0	SPORTS		In college, Kareem Abdul-Jabbar played under this name	Lew Alcindor	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	125	0	SPORTS		Superbowl trophy is named for this coach	Vince Lombardi	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
single	25	0	LISTS		Moses received this list on Mt. Sinai	the Ten Commandments	1983-09-18	Trebek pilot 1. Unaired. Personal computer set with pull-card game.
