round	value	daily_double	category	comments	answer	question	air_date	notes
1	200	no	THE SHAKESPEARE PLAY, & I QUOTE...	-	Tybalt, Act I, scene v: "Uncle\"	Romeo and Juliet	2020-01-07	2020 GOAT Tournament
1	400	no	THE SHAKESPEARE PLAY, & I QUOTE...	-	Ariel, Act I, scene ii: "No\"	The Tempest	2020-01-07	2020 GOAT Tournament
1	600	no	THE SHAKESPEARE PLAY, & I QUOTE...	-	Mustardseed, Act III, scene i: "Mustardseed\"	A Midsummer Night's Dream	2020-01-07	2020 GOAT Tournament
1	800	no	THE SHAKESPEARE PLAY, & I QUOTE...	-	Christopher Sly, Act I, scene i: "Yes\"	Taming of the Shrew	2020-01-07	2020 GOAT Tournament
1	1000	no	THE SHAKESPEARE PLAY, & I QUOTE...	-	Achilles, Act II, scene i: "What? What?\"	Troilus and Cressida	2020-01-07	2020 GOAT Tournament
1	400	no	SCHOOL DAYS	-	Adam Sandler's song "Lunch Lady Land" says, "yesterday's meatloaf is today's" this	sloppy joe	2020-01-07	2020 GOAT Tournament
1	600	no	SCHOOL DAYS	-	The 2-word title of a 1972 George Carlin album, it's what George probably was at Corpus Christi Grammar School	Class Clown	2020-01-07	2020 GOAT Tournament
1	800	no	SCHOOL DAYS	-	High school math! These equations that don't use exponents are so named because of the way they can be graphed	linear equations	2020-01-07	2020 GOAT Tournament
1	1000	no	SCHOOL DAYS	-	The first state law allowing these more autonomous publicly funded schools passed in 1991; today over 40 states allow them	charter schools	2020-01-07	2020 GOAT Tournament
1	200	no	MUSICAL INSTRUMENTS	-	Sackbut is an old name for this instrument that has a slide & a bell	a trombone	2020-01-07	2020 GOAT Tournament
1	400	no	MUSICAL INSTRUMENTS	-	These paired rattles of Latin America are traditionally made using gourds filled with beads or seeds	maracas	2020-01-07	2020 GOAT Tournament
1	800	no	MUSICAL INSTRUMENTS	-	The score of the movie "The Third Man" was performed by Anton Karas, playing this stringed instrument	a zither	2020-01-07	2020 GOAT Tournament
1	1800	yes	MUSICAL INSTRUMENTS	-	Last name of Robert, inventor of an electronic music synthesizer; the instrument was on The Doors album "Strange Days\"	Moog	2020-01-07	2020 GOAT Tournament
1	200	no	THE TOTALLY RAD 1980s	-	Hey, babe! I made you a bitchin' mixtape to play on this Sony item that dominated the '80s & began in the U.S. as the "Soundabout\"	a Walkman	2020-01-07	2020 GOAT Tournament
1	400	no	THE TOTALLY RAD 1980s	-	Duuuude! You were a massive Spicoli wearing this brand's checkered slip-on sneakers!	Vans	2020-01-07	2020 GOAT Tournament
1	600	no	THE TOTALLY RAD 1980s	-	I thought this movie about Olympic runners would be grody to the max but not even! It won Best Pic, & everyone loves Vangelis!	Chariots of Fire	2020-01-07	2020 GOAT Tournament
1	800	no	THE TOTALLY RAD 1980s	-	I was so stoked when this team USA hockey captain scored the winning goal against the Soviets in 1980's "Miracle on Ice"!	Eruzione	2020-01-07	2020 GOAT Tournament
1	200	no	THE OSCARS	-	Nearly 44 million people were watching the Oscars on ABC in 2014 when this film about Solomon Northup won Best Picture	12 Years a Slave	2020-01-07	2020 GOAT Tournament
1	400	no	THE OSCARS	-	On Oscar night 2016 Best Animated Short went to "Bear Story"; this other bear story won Best Actor & Best Director	The Revenant	2020-01-07	2020 GOAT Tournament
1	600	no	THE OSCARS	-	This half of a sibling duo runs the gamut from "There's Something About Mary" to "Green Book", for which he won 2 Oscars	Peter Farrelly	2020-01-07	2020 GOAT Tournament
1	800	no	THE OSCARS	-	The second, third & fourth Oscars for Best Actress went to Canadian-born women, starting with her, "America's Sweetheart\"	Pickford	2020-01-07	2020 GOAT Tournament
1	1000	no	THE OSCARS	-	The Oscar-winning song "It's Hard Out Here For A Pimp" was by this hip-hop group	Three 6 Mafia	2020-01-07	2020 GOAT Tournament
2	400	no	DANCING WITH THE CZARS	(Alex: ...not the stars.)	17th century czar Fyodor III of this dynasty was highly educated & reform minded but died young	Romanov	2020-01-07	2020 GOAT Tournament
2	800	no	DANCING WITH THE CZARS	(Alex: ...not the stars.)	In 1855 Czar Alexander II came to the throne at the height of this conflict	the Crimean War	2020-01-07	2020 GOAT Tournament
2	1200	no	DANCING WITH THE CZARS	(Alex: ...not the stars.)	As czar from 1547 to 1584, he waged drawn-out wars against Sweden & Poland & also against the nobility of his own country	Ivan the Terrible	2020-01-07	2020 GOAT Tournament
2	4000	yes	DANCING WITH THE CZARS	(Alex: ...not the stars.)	\"We understood each other...& let the others prattle", said Catherine the Great of this longtime adviser & less longtime lover	Grigory Potemkin	2020-01-07	2020 GOAT Tournament
2	2000	no	DANCING WITH THE CZARS	(Alex: ...not the stars.)	This 1831 work by Pushkin dramatized the fate of the title czar whose reign ended in 1605	Boris Godunov	2020-01-07	2020 GOAT Tournament
2	1200	no	DAVID MUIR COVERS THE WORLD	-	In Ethiopia, David saw an $11 procedure give sight to people stricken with these, a major cause of preventable blindness worldwide	cataracts	2020-01-07	2020 GOAT Tournament
2	400	no	THE "SAT"s	-	A small unit of a large entity, like a campus apart from the main branch of a university	a satellite	2020-01-07	2020 GOAT Tournament
2	800	no	THE "SAT"s	-	Colors can be precisely specified by their brightness & this, their degree of intensity	saturation	2020-01-07	2020 GOAT Tournament
2	1200	no	THE "SAT"s	-	There's a planet in this word meaning an orgy or a wild celebration	a saturnalia	2020-01-07	2020 GOAT Tournament
2	1600	no	THE "SAT"s	-	It's a kind of mandarin orange	a satsuma	2020-01-07	2020 GOAT Tournament
2	2000	no	THE "SAT"s	-	Zen Buddhists hope to reach this state of sudden enlightenment	satori	2020-01-07	2020 GOAT Tournament
2	400	no	POP CULTURE BOOKSHELF	-	Ernest Cline's "Armada" finds Zack preparing against a perceived attack from aliens hailing from Europa, a moon of this planet	Jupiter	2020-01-07	2020 GOAT Tournament
2	800	no	POP CULTURE BOOKSHELF	-	In her memoir "Inside Out", this actress says "St. Elmo's Fire" saved her life: she had to go to rehab to keep her role in the film	Demi Moore	2020-01-07	2020 GOAT Tournament
2	1600	no	POP CULTURE BOOKSHELF	-	Appearing in mask & with sword on the cover of "As You Wish", this British actor gives insight on the making of "The Princess Bride\"	Cary Elwes	2020-01-07	2020 GOAT Tournament
2	400	no	BEFORE, DURING & AFTER	-	Oscar-nominated "South Park" song that soars in a V formation, with a 1970s Yankee closer	\"Blame Canada" Goose Gossage	2020-01-07	2020 GOAT Tournament
2	800	no	BEFORE, DURING & AFTER	-	Margaret Wise Brown's bunny bids adieu to Ray Charles' "Sunshine State" song & the only NFL team with a perfect season	Goodnight Moon "Over Miami" Dolphins	2020-01-07	2020 GOAT Tournament
2	8600	yes	BEFORE, DURING & AFTER	-	Louisiana Purchase explorers joined by LBJ's Secretary of Defense & a "Golden Boy" dramatist	Lewis and Clark Clifford Odets	2020-01-07	2020 GOAT Tournament
2	1600	no	BEFORE, DURING & AFTER	-	Tootie, Blair, Jo & Natalie show up in the third "Hitchhiker's Guide" book with boiled & baked Jewish rolls with all the fixins	The Facts of Life, the Universe and Everything bagel	2020-01-07	2020 GOAT Tournament
2	2000	no	BEFORE, DURING & AFTER	-	Elizabeth Barrett Browning's poems to an "Iberian" jellyfish relative, now heroic in Don Cheadle's supersuit	Sonnets from the Portuguese man o' War Machine	2020-01-07	2020 GOAT Tournament
3	0	no	PRESIDENTS & THE BIBLE	-	\"Silent" Calvin Coolidge was inaugurated in 1925 on a Bible open to this 6-word first line of the Gospel According to John	\"In the beginning was the Word\\"	2020-01-07	2020 GOAT Tournament
1	200	no	TOY STORY	-	In 1939 Sawyer's Inc. introduced this, a slide stereoscope	the View-Master	2020-01-07	2020 GOAT Tournament
1	400	no	TOY STORY	-	The Christmas fad of 1983 was this doll, featured on the cover of Newsweek in December of that year	the Cabbage Patch doll	2020-01-07	2020 GOAT Tournament
1	800	no	TOY STORY	-	An iconic red frame, a magic screen & 2 white knobs are integral to this classic toy	Etch A Sketch	2020-01-07	2020 GOAT Tournament
