round	value	daily_double	category	comments	answer	question	air_date	notes
1	100	no	BIRDS	-	The bat parrot probably got its name from sleeping in this position	upside-down	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	no	BIRDS	-	Too "lei"zy to migrate, the geese in this tropical state stay year-round	Hawaii	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	300	no	BIRDS	-	A bird waterproofs its feathers with oil from its "preen gland", located at the base of this	its tail	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	100	no	THE LIBRARY	-	Defacing books or shouting or throwing spitballs at the other readers	three activities prohibited in the library	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	no	THE LIBRARY	-	On most reference books in your local library, you'll find this letter above the call number	R	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	300	no	THE LIBRARY	-	When a book has been checked out it's said to be "in" this	circulation	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	400	no	THE LIBRARY	-	In this classification system, WWII, 940.54, comes before the Civil War, 973.7	the Dewey Decimal system	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	500	no	THE LIBRARY	-	Shirley Jones played this part by the book in "The Music Man\"	(Marian the) librarian	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	100	no	LEAD SINGERS	-	Genesis	Phil Collins	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	no	LEAD SINGERS	-	The Police	Sting	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	300	no	LEAD SINGERS	-	Wham!	George Michael	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	400	no	LEAD SINGERS	-	Eurythmics	Annie Lennox	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	500	no	LEAD SINGERS	-	Talking Heads	David Byrne	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	100	no	PLAYTIME	-	To compete with "G.I. Joe", Coleco has created a line of soldiers inspired by this Stallone film	Rambo	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	no	PLAYTIME	-	In 1977, Kenner sold gift certificates for toys based on this sci-fi film since the toys didn't exist yet	Star Wars	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	300	no	PLAYTIME	-	Christmas stockings in 1986 were filled with this Hungarian inventor's "Magic", as well as Santa's	Rubik	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	400	no	PLAYTIME	-	Since 1949, this game manufacturer has sold about 1 million Candyland sets a year	Milton Bradley	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	500	no	PLAYTIME	-	A battle of the bands is ensuing between Barbie & The Rockers & this doll & The Holograms	Jem	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	100	no	CURRENT EVENTS	-	Hamilton, Ohio recently added this punctuation mark to its name, like our show's always had	an exclamation mark	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	no	CURRENT EVENTS	-	\"Hands Across America" raised money for the hungry & homeless in this country	the United States of America	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	300	no	CURRENT EVENTS	-	In October 1986, Reagan & Gorbachev went face to face in this cold capital	Reykjavik	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	yes	CURRENT EVENTS	-	Father Lawrence Jenco, the Reverend Benjamin Weir, & David Jacobsen	hostages that were released from Beirut	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	500	no	CURRENT EVENTS	-	In 1986, for the 1st time ever, 2 women ran against each other for gov. in this plains state	Nebraska	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	100	no	CAR TALK	-	If you "boil the hides", it means your rear tires are producing this at the start of a drag race	smoke	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	200	no	CAR TALK	-	When fixing cars, "R & R" means remove & do this to an auto part	restore (or replace or repair)	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	300	no	CAR TALK	-	When your car is "on the hook", it's traveling this way	on a tow truck	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	400	no	CAR TALK	-	When a car has been "chopped", this part of it has been lowered	the top	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	200	no	LITERATURE	-	Death of his son led him to write a "History of Spiritualism" before his last Sherlock Holmes book	(Sir Arthur Conan) Doyle	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	400	no	LITERATURE	-	\"A Christmas Carol" character who tells Scrooge, "I wear the chain I forged in life\"	Jacob Marley	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	800	no	LITERATURE	-	19th c. feminist Catharine Beecher wrote "The American Woman's Home" with this more famous sister	Harriet Beecher Stowe	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	1000	no	LITERATURE	-	Subtitled "A Tale of Acadie", this Longfellow poem describes the tragic romance of an Acadian woman	Evangeline	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	200	no	THE WORLD	-	On the 1st day of spring or fall, the Sun is directly over this imaginary line	the Equator	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	400	no	THE WORLD	-	Of about 10, 30, or 50%, percentage of Earth's surface covered by land	30%	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	600	no	THE WORLD	-	All of the peoples of the world belong to this single species	Homo sapiens	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	800	no	THE WORLD	-	Guinness says more people emigrate from this Latin country than any other in the world	Mexico	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	1000	no	THE WORLD	-	The term "second world" refers to this nation & its nearby allies	the Soviet Union	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	200	no	TEEN QUEENS	-	This teenage Egyptian ruler gave birth to a son she claimed was Julius Caesar's	Cleopatra	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	400	no	TEEN QUEENS	-	Teen-aged Mary, Queen of Scots, also became queen of this country, because she'd married the Dauphin	France	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	600	no	TEEN QUEENS	-	At 15, she became the future Louis XVI's bride; at 18, she became queen	Marie Antoinette	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	800	no	TEEN QUEENS	-	British monarch crowned in 1837, when she was barely 18	Victoria	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	1000	no	TEEN QUEENS	-	Many claim that before Bloody Mary grabbed the throne, this "Lady" was Queen of England for 9 days	Lady Jane Grey	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	200	no	QUOTES	-	Ben Franklin said, "There was never a good war or a bad" 1 of these	peace	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	400	no	QUOTES	-	It was way back in 1696 that Mary Manley wrote there's "no time like" this	the present	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	1000	yes	QUOTES	-	Penguin's Modern Quotes lists "Supercalifragilistic- expialidocious" under his name	Disney	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	800	no	QUOTES	-	17th century English diarist known for the phrase "and so to bed\"	Samuel Pepys	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	1000	no	QUOTES	-	Bartlett's says she "coined" the phrase "equal pay for equal work" on March 18, 1869	Susan B. Anthony	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	200	no	AMERICAN HOLIDAYS	-	Since 1941, Thanksgiving is observed on this Thursday in November	the fourth Thursday	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	400	no	AMERICAN HOLIDAYS	-	\"Shrove Tuesday", the day before Lent starts, is commonly called this in New Orleans	Mardi Gras	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	600	no	AMERICAN HOLIDAYS	-	Supposedly a union president suggested date of this holiday to fill gap between July 4th & Thanksgiving	Labor Day	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	800	no	AMERICAN HOLIDAYS	-	Until June 1, 1954, this was officially called "Armistice Day\"	Veterans Day	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	1000	no	AMERICAN HOLIDAYS	-	This memorialized president's birthday, April 13, was a legal holiday in Virginia from 1943 to 1967	Thomas Jefferson	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	200	no	DESSERTS	(Alex: And something we all enjoy...)	Sacher Torte originated in this Austrian capital	Vienna	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	400	no	DESSERTS	(Alex: And something we all enjoy...)	Like lemon pie, "Baked Alaska" is covered with this, then put in an oven to brown	meringue	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	600	no	DESSERTS	(Alex: And something we all enjoy...)	It's thought Saladin offered this fruity dessert, cousin to ice cream, to Richard I during Crusades	sherbet	1987-02-16	1987 Teen Tournament quarterfinal game 1.
2	800	no	DESSERTS	(Alex: And something we all enjoy...)	A dessert that might be appropriate while repairing shoes	cobbler	1987-02-16	1987 Teen Tournament quarterfinal game 1.
3	0	no	BODIES OF WATER	-	Bordering on Mich. & N.Y., these 2 Great Lakes are the only ones to border on 1 state each	Lake Huron & Lake Ontario	1987-02-16	1987 Teen Tournament quarterfinal game 1.
1	100	no	LAKES & RIVERS	-	Named for its large amounts of soft yellow earth China's Huang Ho River means this in English	Yellow River	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	200	no	LAKES & RIVERS	-	In 1986, Russell Lake was formed when one of these closed off Alaska's Russell Fjord	glacier	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	400	no	LAKES & RIVERS	-	In August 1986, this, emerging from Lake Nios in Cameron, killed about 2000 people	poisonous gas	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	500	no	LAKES & RIVERS	-	With some 20% of world's fresh unfrozen water, this country's Lake Baikal is deepest in world	Soviet Union	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	100	no	LEGENDS	-	In European legends even classy dragons spit this	fire	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	200	no	LEGENDS	-	Mermaids entice men to follow them here, even though their lack of gills may kill them	sea	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	300	no	LEGENDS	-	Some folks used to say this lumberjack started earthquakes by dropping biscuits	Paul Bunyan	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	400	no	LEGENDS	-	This legendary outlaw was said to be an early name Robert Fitz-ooth, born in Nottinghamshire	Robin Hood	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	500	no	LEGENDS	-	He was never seen again after a headless horseman chased him thru Sleepy Hollow	Ichabod Crane	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	100	no	TV ALIENS	-	The crew & passengers of the Battlestar Galactica were searching for this planet	Earth	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	200	no	TV ALIENS	-	The opening narration called him a "strange visitor from another planet\"	Superman	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	300	no	TV ALIENS	-	Show on which an alien race gave teacher Ralph Hinkley a super suit	Greatest American Hero	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	400	no	TV ALIENS	-	His real name is Gordon, but the Earth family who adopted him nicknamed him this	Alf	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	500	no	TV ALIENS	-	His alter ego is Prince Adam of Eternia	He-Man	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	100	no	OUTDOOR SPORTS	-	In the 'Odyssey", Homer hit the bullseye describing competition in this sport	archery	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	200	no	OUTDOOR SPORTS	-	In 1974, Ruth Hangen tossed a woman's record of 42 straight ringers in a single game of this	horseshoes	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	300	no	OUTDOOR SPORTS	-	In 1981, this Dodger rookie's 13 wins included 8 shutouts	Fernando Valenzuela	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	400	no	OUTDOOR SPORTS	-	An orchestra conductor or a relay runner had better keep this firmly in hand	baton	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	500	no	OUTDOOR SPORTS	-	In 1978, this teenager rode Affirmed to a triple crown title	Steve Cauthen	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	100	no	MULTIPLE CHOICE	-	Of Mickey, Donald, or Goofy, the Disney character who usually doesn't wear a hat	Mickey	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	200	no	MULTIPLE CHOICE	-	Of the 7 deadly sins, one which also means a group of lions	pride	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	300	no	MULTIPLE CHOICE	-	Of the 50, it's the state with the highest zip code numbers	Alaska	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	400	no	MULTIPLE CHOICE	-	The only 1 of Elvis Presley's 107 Billboard Top 40 Hits whose title is an article of clothing	\"Blue Suede Shoes\"	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	500	no	MULTIPLE CHOICE	-	Among the numbered days in a calendar year, this 2-digit number appears the least often	31	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	100	no	FAMOUS PATS	-	He's big wheel on "Wheel of Fortune\"	Pat Sajak	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	200	no	FAMOUS PATS	-	He played "One Day at a Time"s super super	Pat Harrington	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	300	no	FAMOUS PATS	-	Former place kicker for the N.Y. Giants who's found "True Value" in hardware	Pat Summerall	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	400	no	FAMOUS PATS	-	She's the only First Lady who fits this category	Pat Nixon	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	500	no	FAMOUS PATS	-	Born Patricia Andrzejewski, this hard-rocker knows that "Love is a Battlefield\"	Pat Benatar	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	200	no	U.S. HISTORY	-	Said to be inspired by the "Ten Best Dressed Women" list, it was started by the F.B.I. in 1950	Ten Most Wanted list	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	400	no	U.S. HISTORY	-	\"I want more elbow room!" is a famous remark by this famous explorer of Kentucky	Daniel Boone	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	600	no	U.S. HISTORY	-	Patrick Henry opposed the Constitution & in 1795 turned down an appointment to this key legal post	Chief Justice of the Supreme Court	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	800	no	U.S. HISTORY	-	He was so popular just 1 elector of 232 didn't vote to re-elect this 5th President	James Monroe	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	1000	no	U.S. HISTORY	-	Number of Vice Presidents who served under FDR	3	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	200	no	SHIPS	-	With 18" to a cubit, it was by biblical stats, the longest wood ship ever built	Noah's Ark	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	400	no	SHIPS	-	Only Gilbert & Sullivan operetta whose title is the name of a ship	H.M.S. Pinafore	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	600	no	SHIPS	-	They "committed themselves to the will of God" wrote William Bradford of this ship's voyage	Mayflower	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	800	no	SHIPS	-	Scuttled Union frigate the Confederates raised, clad with iron, & renamed the "Virginia\"	Merrimack	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	1000	no	SHIPS	-	In 1831, Charles Darwin signed on as unpaid naturalist for this ship's scientific voyage	Beagle	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	200	no	DOGS	-	Type of dog on which you can legally place a bet at Florida's dog tracks	greyhound	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	400	no	DOGS	-	\"Bad Bad Leroy Brown" was "badder than old King Kong & meaner than" one of these	junkyard dog	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	600	no	DOGS	-	With some adults weighing less than 2 lbs., it's the smallest breed of dog	chihuahua	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	800	no	DOGS	-	What the Shetland pony is to the horse in size, the Shetland sheep-dog or Sheltie is to this breed	collie	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	1000	no	DOGS	-	1st bred in Siberia, he's often called "the white dog with the smiling face\"	Samoyed	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	200	no	GRAMMAR	-	\"A" precedes "lemon" as this article precedes "orange\"	an	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	400	no	GRAMMAR	-	Of between he & I, between you & I, or between you & me, the 1 that's grammatically correct	between you & me	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	600	no	GRAMMAR	-	In "She sells seashells by the seashore", this word is the object of the preposition	seashore	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	800	yes	GRAMMAR	-	2 of the 3 parts of speech an adverb can modify	(2 of) verbs, adjectives & other adverbs	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	1000	no	GRAMMAR	-	A complex sentence consists of a main clause & at least 1 of these clauses	subordinate (dependent)	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	200	no	SICKNESS & HEALTH	-	The term laryngitis specifically refers to the inflammation of this body part	larynx (voice box)	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	400	no	SICKNESS & HEALTH	-	American Health advises using this technique for all choking victims older than a year	Heimlich maneuver	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	600	no	SICKNESS & HEALTH	-	Since 1924, a compound containing this has been added to table salt to prevent goiters	iodine	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	900	yes	SICKNESS & HEALTH	-	This childhood disease's common name is always plural even though it may appear on just 1 side	mumps	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	1000	no	SICKNESS & HEALTH	-	In 1915, Elmer McCollum invented the alphabet system for naming these	vitamins	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	200	no	BUSINESS IN "GENERAL\"	-	They make Holdens in Australia, Vauxhalls in Britain & Opels in Germany	General Motors	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	400	no	BUSINESS IN "GENERAL\"	-	This #2 cereal maker was once also #1 toymaker in the U.S.	General Mills	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	600	no	BUSINESS IN "GENERAL\"	-	Once America's biggest maker of tennis balls, they still insist, "Sooner or later, you'll own Generals\"	General Tire	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	800	no	BUSINESS IN "GENERAL\"	-	NBC, the network organized by General Sarnoff, is now owned by this General	General Electric	1987-02-17	1987 Teen Tournament quarterfinal game 2.
2	1000	no	BUSINESS IN "GENERAL\"	-	Largest of all defense contractors, it charged gov't $155 to board an executive's pet at a kennel	General Dynamics	1987-02-17	1987 Teen Tournament quarterfinal game 2.
3	0	no	THE MOVIES	-	He has starred in 5 of the top 10 grossing films of all time	Harrison Ford	1987-02-17	1987 Teen Tournament quarterfinal game 2.
1	100	no	POP SINGERS	-	1st name of singers Grant, Money, & Rabbit	Eddy	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	200	no	POP SINGERS	-	Last name of singers Joe, Janet, & Jermaine	Jackson	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	300	no	POP SINGERS	-	Sporting pink glasses & a ponytail at Andy & Fergie's wedding, he was not asked to sing "Kiss the Bride\"	Elton John	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	400	no	POP SINGERS	-	Sting, U2 & Peter Gabriel headlined the "Conspiracy of Hope" tour to raise money for this organization	Amnesty International	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	500	no	POP SINGERS	-	Of Crosby, Stills, Nash & Young, the 2 who are pairing up for reunion of Buffalo Springfield	Steven Stills & Neil Young	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	100	no	RELIGION	-	A transgression against God, it can be mortal or venial	sin	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	200	no	RELIGION	-	At Jim Bakker's Heritage USA, these are held every Tuesday afternoon at the hotel's pool	baptisms	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	300	no	RELIGION	-	Blown in Jewish rituals, the shofar is traditionally a horn of this animal	sheep (male sheep, a ram)	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	400	no	RELIGION	-	Shh...we hope we're not overdue in telling you St. Jerome is patron saint of this profession	librarians	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	500	no	RELIGION	-	Holy city whose sites include the Well of Zem-Zem, Abraham's Footprint, & a Great Mosque	Mecca	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	300	no	METALS	-	Pb, it corrodes so little that words stamped on Roman water pipes made of it are still legible	lead	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	400	no	METALS	-	Though technically a metal, it becomes a solid only at temperatures below -38℉.	mercury	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	500	no	METALS	-	Common metal made from bauxite ore	aluminum	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	100	no	ICE CREAM	-	This best-selling brand of cookies is also available as "cookies n' cream" ice cream	Oreos	1987-02-18	1987 Teen Tournament quarterfinal game 3.
1	200	no	ICE CREAM	-	Though your stomach may not have room, the wide-brimmed "waffle" type of this holds a whole sundae	cone	1987-02-18	1987 Teen Tournament quarterfinal game 3.
