season	air_date	name_left	name_middle	name_right	single_left	single_middle	single_right	double_left	double_middle	double_right	final_left	final_middle	final_right
1	1984-09-10	Greg Hopkins	Lois Feinstein	Frank Selevan	3300	200	700	8100	3800	2500	8400	7500	5000
1	1984-09-11	Greg Hopkins	Lynne Crawford	Paul Schaeffer	3100	1000	500	9500	5000	1100	0	0	0
1	1984-09-12	Gunther Murley	Nancy Teri	Michael Ellington, Jr.	1500	2100	500	5500	4200	-1300	2500	8390	-1300
1	1984-09-13	Nancy Teri	Larry Silverman	Denise Stewart	200	2500	2600	3200	10000	7200	100	3000	200
1	1984-09-14	Larry Silverman	Lorrie Farrely	Howard Wilson	100	3600	1300	4500	12400	3300	9000	13400	200
1	1984-09-17	Lorrie Farrely	Perry Adair	Chris Knapp	2000	800	1000	7600	3000	3400	6850	5990	6700
1	1984-09-18	Lorrie Farrely	Alan Friedenthal	Gene Visich	2900	-500	2500	7300	700	3500	7550	1400	1100
1	1984-09-19	Lorrie Farrely	Richard Willing	Don Marsh	700	2200	1900	2200	6500	6300	4300	12950	4450
1	1984-09-20	Richard Willing	Lynn Strother	Craig Hendricks	4100	1900	1400	9700	10900	2400	50	900	100
1	1984-09-21	Lynn Strother	Eric Groves	Clare Dellemann	200	2500	3000	1600	6300	6600	1700	11300	550
1	1984-09-24	Eric Groves	Mary Bowers	Dan Fuller	1700	1600	3100	5300	6000	4900	10600	11000	9750
1	1984-09-25	Mary Bowers	Randy Haplan	Ed Osawa	2900	700	4100	9600	3100	9500	11200	600	19000
1	1984-09-26	Ed Osawa	Deborah Kelly	Ben Camack	2900	1100	1500	8900	2500	10500	17800	2480	3000
1	1984-09-27	Ed Osawa	Karen Olson	Larry Caplan	100	1400	4600	6800	1800	8700	5	5	3700
1	1984-09-28	Larry Caplan	Louise Balabanian	Norm Cobb	3200	800	800	9600	2400	3600	11600	4750	7100
1	1984-10-01	Larry Caplan	Don Cameron	Elise Beraru	3400	-900	2800	3000	2300	6400	6000	4600	6750
1	1984-10-02	Elise Beraru	Bill Collins	Mark Day	5400	-600	600	15500	1400	1000	5500	0	1
1	1984-10-03	Elise Beraru	Roger Gerhardstein	Margaret Magnus	3800	2000	1000	13800	800	600	23800	1600	1199
1	1984-10-04	Elise Beraru	Perry Buck	Peggy Hesketh	3300	700	-800	14100	3700	-200	8300	5	-200
1	1984-10-05	Elise Beraru	Richard Bolton	Stan Ravinsky	1300	1900	500	9600	700	900	3000	1400	1401
1	1984-10-08	Joel Davidman	Kevin Conway	Diane McCain	-600	-500	3000	-2000	2300	5400	-2000	4595	5800
1	1984-10-09	Diane McCain	Steve Peterson	Andi Manpearl	100	500	2000	4100	900	4000	6100	1800	5000
1	1984-10-10	Diane McCain	Jon Scott	Sandy Boyden	1000	4700	600	5200	6300	6000	1	3300	100
1	1984-10-11	Jon Scott	Donna Levin	David Ulmer, Jr.	1400	2000	300	1800	5200	-600	3576	6000	-600
1	1984-10-12	Donna Levin	Paul Croshier	Toni Bond	800	3100	1600	1800	7700	8200	3600	15395	16200
1	1984-10-19	Terry Turner	Howard Kaufman	Anita Mangels	2300	-300	3100	900	2700	2900	900	1900	300
1	1984-10-26	Brad Marshall	Diane Stone	Peter Lalos	3200	900	1200	6400	7600	5400	400	2300	10600
1	1984-10-30	Peter Lalos	Mary Landra	John Noble	2400	1000	1900	7900	2600	5900	11805	5200	11800
1	1984-11-05	Kirk Donald	Carol Gwynn	George Zadorozny	2100	1200	3300	3700	5100	9900	7400	0	11000
1	1984-11-06	George Zadorozny	Nava Ben-Porat	David Berson	2100	-400	1100	6400	-1000	6700	12800	-1000	200
1	1984-11-07	George Zadorozny	Robin Schneider	John Genova	5000	300	1300	4500	1300	7600	9000	1500	9100
