round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	THE 20th CENTURY		In the 1920s this Fascist leader of Italy set up a puppet regime in Albania & reconquered Libya	Mussolini	2007-09-10	
1	400	0	THE 20th CENTURY		Elizabeth II succeeded her father, this man who died unexpectedly at age 56	George VI	2007-09-10	
1	600	0	THE 20th CENTURY		On Feb. 8, 1904 Japanese ships attacked this country's fleet at Lushun, Manchuria, beginning a war	Russia	2007-09-10	
1	800	0	THE 20th CENTURY		On Feb. 15, 1965, Canada's new flag, which prominently featured an 11-pointed one of these, flew for the first time	a maple leaf	2007-09-10	
1	1000	0	THE 20th CENTURY		On Valentine's Day 1989 the Ayatollah Khomeini showed no love for this author's "Satanic Verses", giving him a death sentence	(Salman) Rushdie	2007-09-10	
1	200	0	THE TALES OF DUSTIN HOFFMAN		Both Hoffman & Streep won Oscars as the title duo in this film	Kramer vs. Kramer	2007-09-10	
1	400	0	THE TALES OF DUSTIN HOFFMAN		Dustin says, "I was a better man with you, as a woman... than I ever was with a woman, as a man" in this 1982 film	Tootsie	2007-09-10	
1	600	0	THE TALES OF DUSTIN HOFFMAN		Dustin spent more than a weekend as Bernie in this 2004 Stiller & De Niro sequel	Meet the Fockers	2007-09-10	
1	800	0	THE TALES OF DUSTIN HOFFMAN		\"Frankly, you're beginning to smell and for a stud in New York, that's a handicap", says Dustin in this 1969 film	Midnight Cowboy	2007-09-10	
1	1000	0	THE TALES OF DUSTIN HOFFMAN		Laurence Olivier sets dentistry back about 1,000 years as he works on Dustin in this film; that's not safe at all	Marathon Man	2007-09-10	
1	200	0	ALSO A SOAP BRAND		Tusk material	Ivory	2007-09-10	
1	400	0	ALSO A SOAP BRAND		Rotary phone part	Dial	2007-09-10	
1	600	0	ALSO A SOAP BRAND		Molten rock	Lava	2007-09-10	
1	800	0	ALSO A SOAP BRAND		Peace advocate	Dove	2007-09-10	
1	1000	0	ALSO A SOAP BRAND		April in Tipperary	Irish Spring	2007-09-10	
1	200	0	IN THE BOOKSTORE		\"The Teammates" by David Halberstam chronicles the friendships of Ted Williams & others on this team	the Boston Red Sox	2007-09-10	
